INQ_YMD,PDLT_CODE,PDLT_NM,NMYR_RATE,BFRT_RATE,SPCS_CODE,WHSL_DAIL_PRCE,RTSL_DAIL_PRCE
일자,품목코드,품목명,평년 비율,전일 비율,품종코드,도매일일가격,소매일일가격
19960303,1201,양파,0,-2.381,1201,420,676
19960303,1202,대파,0,-9.524,1202,525,1317
19960304,1001,배추,0,0,1001,0,1779
19960304,1101,무,0,0,1101,0,1188
19960304,1207,건고추,0,0,1207,5414.29,6325
19960413,1207,건고추,0,0,1207,5442.86,6400
19960413,1209,마늘,0,0,12A9,0,2688
19960413,1209,마늘,0,-0.925,1209,918.6,0
19960413,1201,양파,0,5,1201,1000,1005
19960413,1202,대파,0,0,1202,415,1115
19960414,1001,배추,0,0,1001,3333.333,2763
19960414,1101,무,0,0,1101,0,1446
19960414,1207,건고추,0,0,1207,5442.86,6400
19960414,1209,마늘,0,0,12A9,0,2688
19960414,1209,마늘,0,-0.925,1209,918.6,0
19960414,1201,양파,0,5,1201,1000,1005
19960414,1202,대파,0,0,1202,415,1115
19960415,1001,배추,0,0,1001,3333.333,2843
19960415,1101,무,0,0,1101,0,1554
